Ciudad,Provincia,Producto_Regional,Producción_Toneladas,Índice_Industrialización
San Antón,Azángaro,Tarwi,6920,9.5
Pedro Vilca Apaza,San Antonio de Putina,Cebada,9078,6.4
Putina,San Antonio de Putina,Café,4897,5.0
San Antonio,Puno,Cebada,10269,2.4
Huacullani,Chucuito,Papa,37231,8.7
Unicachi,Yunguyo,Café,2186,9.3
Pucará,Lampa,Cebada,17228,9.2
Orurillo,Melgar,Olluco,8369,3.2
Yanahuaya,Sandia,Trigo,9648,2.5
Crucero,Carabaya,Tuna,3565,3.0
Taraco,Huancané,Papa,39254,2.4
San Juan del Oro,Sandia,Tuna,1108,4.5
Pomata,Chucuito,Cebolla,1355,6.9
Yunguyo,Yunguyo,Ajo,3970,5.0
Orurillo,Melgar,Papa,16505,7.5
Tiquillaca,Puno,Miel,1493,9.1
Huata,Puno,Miel,1653,6.8
Quilcapuncu,San Antonio de Putina,Cebada,9292,7.9
San Gabán,Carabaya,Tuna,2542,3.5
Arapa,Azángaro,Miel,262,3.7
Unicachi,Yunguyo,Ajo,4872,2.7
Crucero,Carabaya,Café,10104,2.3
San Juan del Oro,Sandia,Oca,3637,3.9
Sandia,Sandia,Fresa,1797,3.8
Muñani,Azángaro,Papa,20797,3.8
Ayaviri,Melgar,Miel,1908,9.7
Vilque,Puno,Quinua,19413,8.1
Ilave,El Collao,Cebolla,11029,2.8
Mañazo,Puno,Fresa,1254,6.1
San Antonio,Puno,Trigo,13309,3.8
Sandia,Sandia,Olluco,5274,1.5
Orurillo,Melgar,Lácteos,11242,4.7
Copani,Yunguyo,Kiwicha,5069,8.6
Sandia,Sandia,Tarwi,8105,7.3
San Antón,Azángaro,Lácteos,14788,3.8
Muñani,Azángaro,Kiwicha,11537,7.0
Azángaro,Azángaro,Fresa,2580,4.2
Putina,San Antonio de Putina,Quinua,10927,8.7
Antauta,Melgar,Ajo,1911,4.9
Capaso,El Collao,Maca,6717,2.4
Orurillo,Melgar,Trigo,21068,9.3
Unicachi,Yunguyo,Tarwi,6583,7.2
Vilque,Puno,Carne de alpaca,1677,5.5
Crucero,Carabaya,Café,11606,6.9
Santa Rosa,El Collao,Oca,1684,2.2
Moho,Moho,Quinua,5255,8.1
Juli,Chucuito,Fresa,496,3.1
Asillo,Azángaro,Kiwicha,3328,8.1
Muñani,Azángaro,Ajo,1436,7.0
Unicachi,Yunguyo,Tuna,3506,4.4
Unicachi,Yunguyo,Carne de llama,4678,7.3
Pomata,Chucuito,Kañiwa,7684,1.5
Saman,Azángaro,Oca,4482,8.6
Macusani,Carabaya,Trigo,14301,2.3
Huacullani,Chucuito,Kiwicha,11196,9.5
Copani,Yunguyo,Kiwicha,1709,7.2
Huacullani,Chucuito,Ajo,4182,8.0
Arapa,Azángaro,Olluco,7105,3.0
Arapa,Azángaro,Kiwicha,9068,8.4
Orurillo,Melgar,Maca,5101,7.6
Yunguyo,Yunguyo,Trucha,4714,2.7
Pucará,Lampa,Cebada,4626,2.0
Muñani,Azángaro,Cacao,8150,3.9
Desaguadero,Chucuito,Oca,6273,8.7
Juli,Chucuito,Trucha,4918,2.9
Huata,Puno,Cebolla,7597,1.7
Cabanilla,Lampa,Trucha,7455,3.4
San Juan del Oro,Sandia,Miel,443,7.4
Arapa,Azángaro,Tuna,2007,2.8
Acora,Puno,Kañiwa,2148,3.3
Puno,Puno,Tuna,1786,5.6
Azángaro,Azángaro,Cebolla,9580,9.6
Taraco,Huancané,Tarwi,4983,4.7
San Antonio,Puno,Kañiwa,4159,8.1
Huacullani,Chucuito,Cacao,7272,6.8
Juli,Chucuito,Trucha,4314,7.6
Phara,Sandia,Carne de llama,2194,2.5
Desaguadero,Chucuito,Ajo,2532,8.1
Moho,Moho,Cacao,6792,6.9
Juli,Chucuito,Maíz,9175,4.8
Juliaca,San Román,Maíz,29444,6.9
San Juan del Oro,Sandia,Trigo,20885,5.0
Tiquillaca,Puno,Oca,1095,3.1
Coata,Puno,Trucha,4771,3.2
Copani,Yunguyo,Fresa,3432,7.5
Arapa,Azángaro,Maíz,11863,7.9
Taraco,Huancané,Trigo,13220,6.8
Capaso,El Collao,Papa,10058,7.7
Crucero,Carabaya,Trigo,19739,5.2
Taraco,Huancané,Ajo,509,5.9
Acora,Puno,Quinua,14841,2.0
San Gabán,Carabaya,Carne de llama,1803,6.4
Ilave,El Collao,Tarwi,5719,8.5
Capachica,Puno,Kiwicha,6153,7.9
Ananea,San Antonio de Putina,Quinua,3020,2.4
Juli,Chucuito,Fresa,1418,3.5
San Antón,Azángaro,Cacao,4364,4.8
Muñani,Azángaro,Maíz,9342,8.3
Copani,Yunguyo,Miel,1333,7.3
